Process Verb	Taxonomy	Level
act	Create	1
arrange	Create	1
assemble	Create	1
combine	Create	1
compose	Create	1
construct	Create	1
create	Create	1
design	Create	1
develop	Create	1
devise	Create	1
formulate	Create	1
generate	Create	1
improve	Create	1
infer	Create	1
invent	Create	1
imagine	Create	1
plan	Create	1
predict	Create	1
prepare	Create	1
revise	Create	1
show	Create	1
write	Create	1
argue	Evaluate	2
assess	Evaluate	2
choose	Evaluate	2
compare	Evaluate	2
conclude	Evaluate	2
criticize	Evaluate	2
debate	Evaluate	2
decide	Evaluate	2
defend	Evaluate	2
determine	Evaluate	2
evaluate	Evaluate	2
justify	Evaluate	2
prioritize	Evaluate	2
rate	Evaluate	2
recommend	Evaluate	2
support	Evaluate	2
tell	Evaluate	2
value	Evaluate	2
calculate	Analyze	3
categorize	Analyze	3
classify	Analyze	3
compare	Analyze	3
contrast	Analyze	3
diagram	Analyze	3
differentiate	Analyze	3
discover	Analyze	3
distinguish	Analyze	3
examine	Analyze	3
experiment	Analyze	3
group	Analyze	3
interpret	Analyze	3
investigate	Analyze	3
order	Analyze	3
organize	Analyze	3
question	Analyze	3
relate	Analyze	3
research	Analyze	3
sequence	Analyze	3
solve	Analyze	3
survey	Analyze	3
adapt	Apply	4
apply	Apply	4
calculate	Apply	4
change	Apply	4
compute	Apply	4
demonstrate	Apply	4
dramatize	Apply	4
draw	Apply	4
experiment	Apply	4
illustrate	Apply	4
list	Apply	4
make	Apply	4
manipulate	Apply	4
practice	Apply	4
produce	Apply	4
sequence	Apply	4
show	Apply	4
solve	Apply	4
teach	Apply	4
use	Apply	4
ask	Understand	5
calculate	Understand	5
convert	Understand	5
describe	Understand	5
discuss	Understand	5
explain	Understand	5
give examples	Understand	5
identify	Understand	5
locate	Understand	5
observe	Understand	5
recognize	Understand	5
report	Understand	5
research	Understand	5
retell	Understand	5
review	Understand	5
summarize	Understand	5
tell	Understand	5
choose	Remember	6
cite	Remember	6
define	Remember	6
describe	Remember	6
give example	Remember	6
group	Remember	6
know	Remember	6
label	Remember	6
list	Remember	6
listen	Remember	6
locate	Remember	6
match	Remember	6
memorize	Remember	6
name	Remember	6
quote	Remember	6
recall	Remember	6
recite	Remember	6
record	Remember	6
repeat	Remember	6
select	Remember	6
underline	Remember	6
